YEAR,TECHNOLOGY:Type,VALUE
2023,ELC,2.438956947162322
2024,ELC,4.680956947162324
2025,ELC,7.001956947162324
2026,ELC,10.18095694716232
2027,ELC,13.524956947162314
2028,ELC,17.02895694716232
2029,ELC,20.679956947162317
2030,ELC,24.50295694716232
2031,ELC,28.547956947162323
2032,ELC,34.24495694716233
2033,ELC,40.21195694716232
2034,ELC,46.45295694716231
2035,ELC,53.0089569471623
2036,ELC,59.86895694716233
2037,ELC,67.03695694716231
2038,ELC,74.57195694716233
2039,ELC,82.44995694716232
2040,ELC,90.72895694716233
2041,ELC,99.4279569471623
2042,ELC,109.94095694716229
2043,ELC,119.31799999999998
2044,ELC,128.836
2045,ELC,138.89299999999997
2046,ELC,149.5200476190476
2047,ELC,159.48304761904762
2048,ELC,168.9480476190476
2049,ELC,176.934
2050,ELC,184.545
2021,GAS,29.244
2022,GAS,31.354000000000003
2023,GAS,31.926043052837677
2024,GAS,32.10504305283768
2025,GAS,32.34404305283768
2026,GAS,32.10004305283768
2027,GAS,31.89004305283769
2028,GAS,31.728043052837677
2029,GAS,31.14099543379009
2030,GAS,29.678995433790085
2031,GAS,28.20699543379009
2032,GAS,26.754995433790082
2033,GAS,25.29299543379009
2034,GAS,23.830995433790086
2035,GAS,22.368995433790086
2036,GAS,20.90599543379009
2037,GAS,19.44399543379009
2038,GAS,17.981995433790086
2039,GAS,16.519995433790086
2040,GAS,15.057995433790088
2041,GAS,13.581995433790096
2042,GAS,10.001995433790091
2029,HYB,0.4820476190475936
2030,HYB,1.881047619047593
2031,HYB,3.3320476190475983
2032,HYB,3.3320476190475983
2033,HYB,3.3320476190475983
2034,HYB,3.3320476190475983
2035,HYB,3.3320476190475983
2036,HYB,3.3320476190475983
2037,HYB,3.3320476190475983
2038,HYB,3.3320476190475983
2039,HYB,3.3320476190475983
2040,HYB,3.3320476190475983
2041,HYB,3.3320476190475983
2042,HYB,3.3320476190475987
2043,HYB,3.3320476190475983
2044,HYB,3.3320476190475983
2045,HYB,3.3320476190475983
2046,HYB,2.850000000000003
2047,HYB,1.4510000000000045
2021,DSLBIO,14.656
2022,DSLBIO,15.176
2023,DSLBIO,15.745999999999999
2024,DSLBIO,16.356
2025,DSLBIO,17.016000000000002
2026,DSLBIO,16.304000000000002
2027,DSLBIO,15.571
2028,DSLBIO,14.838000000000005
2029,DSLBIO,14.106
2030,DSLBIO,13.373999999999999
2031,DSLBIO,12.631
2032,DSLBIO,11.908000000000003
2033,DSLBIO,11.174999999999999
2034,DSLBIO,10.443
2035,DSLBIO,9.711
2036,DSLBIO,8.978
2037,DSLBIO,8.245000000000001
2038,DSLBIO,7.512000000000003
2039,DSLBIO,6.7810000000000015
2040,DSLBIO,6.048000000000003
2043,GAS,7.977952380952401
2044,GAS,6.336952380952412
2045,GAS,4.635952380952404
2046,GAS,3.4169523809523943
2047,GAS,2.1649523809523896
2048,GAS,0.854952380952409
2047,H2,4.497000000000003
2048,H2,9.255
2049,H2,14.268000000000006
2050,H2,19.633999999999997
2041,DSLBIO,5.315000000000003
2042,DSLBIO,5.315000000000003
2043,DSLBIO,5.315000000000003
2044,DSLBIO,5.315000000000001
2045,DSLBIO,5.315000000000003
2046,DSLBIO,5.291
2047,DSLBIO,4.037999999999993
2048,DSLBIO,2.734999999999988
2049,DSLBIO,1.3929999999999922
2021,ELC,0.629
2022,ELC,0.71
2021,JET,0.6539999999999999
2022,JET,0.6869999999999998
2023,JET,0.7210000000000002
2024,JET,0.7550000000000001
2025,JET,0.789
2026,JET,0.808
2027,JET,0.8269999999999998
2028,JET,0.8479999999999999
2029,JET,0.8690000000000001
2030,JET,0.89
2031,JET,0.913
2032,JET,0.935
2033,JET,0.9010000000000004
2034,JET,0.8660000000000004
2035,JET,0.8320000000000002
2036,JET,0.7980000000000003
2037,JET,0.7630000000000003
2038,JET,0.7290000000000003
2039,JET,0.6940000000000002
2040,JET,0.6600000000000003
2041,JET,0.6600000000000003
2042,JET,0.5920000000000003
2043,JET,0.5240000000000001
2044,JET,0.4550000000000001
2045,JET,0.3870000000000004
2046,JET,0.3340000000000001
2047,JET,0.2800000000000003
2048,JET,0.2250000000000003
2049,JET,0.1690000000000003
2033,H2,0.0579999999999997
2034,H2,0.1169999999999998
2035,H2,0.1759999999999994
2036,H2,0.2359999999999995
2037,H2,0.2959999999999996
2038,H2,0.3569999999999997
2039,H2,0.4199999999999998
2040,H2,0.4819999999999996
2041,H2,0.5109999999999999
2042,H2,0.6079999999999997
2043,H2,0.7059999999999998
2044,H2,0.8049999999999999
2045,H2,0.9039999999999994
2046,H2,0.9889999999999998
