YEAR,TECHNOLOGY:Type,VALUE
2023,ELC,1.90229135170643
2024,ELC,4.144291351706431
2025,ELC,6.47529135170643
2026,ELC,6.520291351706428
2027,ELC,6.641987241715259
2028,ELC,7.826231911339432
2029,ELC,8.871282042459322
2030,ELC,10.342239269804928
2031,ELC,12.286239269804916
2032,ELC,15.607239269804925
2033,ELC,19.116239269804925
2034,ELC,22.823239269804912
2035,ELC,26.763239269804917
2036,ELC,30.93123926980492
2037,ELC,35.328239269804875
2038,ELC,39.99623926980492
2039,ELC,44.9212392698049
2040,ELC,50.147239269804935
2041,ELC,55.86222575629142
2042,ELC,65.8252257562914
2043,ELC,75.25893440458499
2044,ELC,84.34093440458498
2045,ELC,94.021934404585
2046,ELC,105.14193440458503
2047,ELC,118.23023851457616
2048,ELC,131.135993844952
2049,ELC,145.10794371383207
2050,ELC,159.68098648648646
2021,GAS,29.244
2022,GAS,31.354000000000003
2023,GAS,32.46270864829357
2024,GAS,32.64170864829357
2025,GAS,32.87070864829357
2026,GAS,33.94470864829358
2027,GAS,35.08001275828474
2028,GAS,35.31476808866057
2029,GAS,35.85471795754067
2030,GAS,36.136760730195086
2031,GAS,36.13776073019508
2032,GAS,36.21676073019509
2033,GAS,36.37576073019509
2034,GAS,36.63376073019509
2035,GAS,36.99876073019509
2036,GAS,37.46376073019509
2037,GAS,38.03876073019509
2038,GAS,38.74276073019509
2039,GAS,39.56476073019508
2040,GAS,40.52776073019511
2041,GAS,41.449774243708575
2042,GAS,37.879774243708574
2043,GAS,35.309065595415014
2044,GAS,33.66806559541501
2045,GAS,31.967065595415015
2046,GAS,29.440065595415007
2047,GAS,26.842761485423825
2048,GAS,25.146006155048013
2049,GAS,23.14405628616791
2021,DSLBIO,14.656000000000004
2022,DSLBIO,15.176
2023,DSLBIO,15.745999999999999
2024,DSLBIO,16.356
2025,DSLBIO,17.016000000000005
2026,DSLBIO,17.181
2027,DSLBIO,17.396
2028,DSLBIO,17.669999999999998
2029,DSLBIO,17.994000000000003
2030,DSLBIO,18.378999999999998
2031,DSLBIO,18.840999999999998
2032,DSLBIO,18.107999999999997
2033,DSLBIO,17.374999999999996
2034,DSLBIO,16.64299999999999
2035,DSLBIO,15.910999999999992
2036,DSLBIO,15.177999999999995
2037,DSLBIO,14.444999999999995
2038,DSLBIO,13.711999999999994
2039,DSLBIO,12.981
2040,DSLBIO,12.247999999999996
2050,GAS,21.37001351351351
2041,DSLBIO,11.514999999999995
2042,DSLBIO,11.514999999999995
2043,DSLBIO,11.514999999999995
2044,DSLBIO,11.514999999999995
2045,DSLBIO,11.514999999999995
2046,DSLBIO,11.51099999999999
2047,DSLBIO,10.258
2048,DSLBIO,8.954999999999993
2049,DSLBIO,7.612999999999993
2050,DSLBIO,6.199999999999982
2021,ELC,0.6289999999999997
2022,ELC,0.71
2021,JET,0.6539999999999999
2022,JET,0.6869999999999998
2023,JET,0.721
2024,JET,0.7549999999999998
2025,JET,0.7889999999999999
2026,JET,0.7939999999999999
2027,JET,0.799
2028,JET,0.805
2029,JET,0.8139999999999997
2030,JET,0.823
2031,JET,0.8339999999999999
2032,JET,0.8450000000000002
2033,JET,0.8580000000000001
2034,JET,0.8730000000000001
2035,JET,0.889
2036,JET,0.906
2037,JET,0.871
2038,JET,0.8369999999999999
2039,JET,0.8019999999999999
2040,JET,0.7679999999999999
2041,JET,0.7679999999999999
2042,JET,0.6999999999999998
2043,JET,0.6320000000000001
2044,JET,0.5630000000000001
2045,JET,0.495
2046,JET,0.4560000000000001
2047,JET,0.416
2048,JET,0.3759999999999999
2049,JET,0.3320000000000001
2050,JET,0.289
2037,H2,0.053
2038,H2,0.1070000000000001
2039,H2,0.164
2040,H2,0.2200000000000001
2041,H2,0.244
2042,H2,0.336
2043,H2,0.4299999999999999
2044,H2,0.5259999999999999
2045,H2,0.6220000000000002
2046,H2,0.6900000000000001
2047,H2,0.7600000000000001
2048,H2,0.8300000000000001
2049,H2,0.9059999999999996
2050,H2,0.982
