EMISSION:EmissionSubType,YEAR,VALUE
Power,2021,9.04670693352
Power,2022,9.04670693352
Power,2023,9.046706933519994
Power,2024,9.047
Power,2025,11.66970693352
Power,2026,11.669706933519995
Power,2027,11.66970693352
Power,2028,11.669706933519995
Power,2029,11.669706933520002
Power,2030,11.66970693352
Power,2031,11.669706933519995
Power,2032,11.66970693352
Power,2033,11.66970693352
Power,2034,11.66970693352
Power,2035,11.66970693352
Power,2036,11.669706933520004
Power,2037,11.669706933520004
Power,2038,11.66970693352
Power,2039,11.194000000000004
Power,2040,10.177
Power,2041,9.159
Power,2042,8.141
Power,2043,7.123999999999999
Power,2044,6.106
Power,2045,5.087999999999999
Power,2046,2.623
Power,2047,1.967
Power,2048,1.3120000000000005
Power,2049,0.6560000000000001
Transport,2021,2.357982846120257
Transport,2022,2.3620374400673896
Transport,2023,2.4334154457098696
Transport,2024,2.484119475963805
Transport,2025,2.488286172167216
Transport,2026,2.7290907474193506
Transport,2027,2.6023866566782163
Transport,2028,2.542262299960096
Transport,2029,2.4497837471867476
Transport,2030,2.5846060087524747
Transport,2031,2.537687551086141
Transport,2032,2.5386659036686616
Transport,2033,2.629852300713695
Transport,2034,2.5749999999999993
Transport,2035,2.5090000000000012
Transport,2036,2.4340000000000006
Transport,2037,2.3360000000000003
Transport,2038,2.231000000000001
Transport,2039,1.7869444405021575
Transport,2040,1.5506310472796645
Transport,2041,1.3484647933557803
Transport,2042,1.1451389589781147
Transport,2043,0.9403075675787954
Transport,2044,0.769583854700884
Transport,2045,0.5641358570707962
Transport,2046,0.3564139188768978
Transport,2047,0.311523674091616
Transport,2048,0.2658687047540983
Transport,2049,0.2659999999999999
