TECHNOLOGY:Sector,YEAR,VALUE
PWR,2021,10.981000000000002
PWR,2022,10.981
PWR,2023,10.981000000000002
PWR,2024,13.289581760000008
PWR,2025,30.992000000000004
PWR,2026,30.992000000000008
PWR,2027,30.992000000000004
PWR,2028,30.992000000000004
PWR,2029,30.99200000000001
PWR,2030,30.992000000000004
PWR,2031,30.992000000000008
PWR,2032,30.991999999999994
PWR,2033,30.992000000000004
PWR,2034,30.992000000000008
PWR,2035,30.992000000000015
PWR,2036,30.992000000000008
PWR,2037,30.992000000000008
PWR,2038,30.992000000000008
PWR,2039,30.992000000000004
PWR,2040,30.484000000000005
PWR,2041,29.976000000000003
PWR,2042,29.468000000000007
PWR,2043,28.96
PWR,2044,28.452000000000005
PWR,2045,27.944000000000003
PWR,2046,19.529000000000003
PWR,2047,19.167
PWR,2048,18.806
PWR,2049,18.444
PWR,2050,18.082
TRA,2021,6.190351999999999
TRA,2022,6.511004
TRA,2023,6.844500000000001
TRA,2024,7.1945120000000005
TRA,2025,7.562468
TRA,2026,7.569863999999999
TRA,2027,7.5706620000000004
TRA,2028,7.560633
TRA,2029,7.556283999999999
TRA,2030,7.597432000000001
TRA,2031,7.579861000000001
TRA,2032,7.632975
TRA,2033,7.562989000000002
TRA,2034,7.471199000000002
TRA,2035,7.414812
TRA,2036,7.354911999999999
TRA,2037,7.329435000000001
TRA,2038,7.30531
TRA,2039,7.31584
TRA,2040,7.3551730000000015
TRA,2041,7.378021
TRA,2042,7.358437000000002
TRA,2043,7.346717000000001
TRA,2044,7.384514
TRA,2045,7.414581999999999
TRA,2047,7.5320290000000005
TRA,2048,7.407282000000004
TRA,2049,7.291615000000005
TRA,2050,7.18136400000002
TRA,2046,7.6460740000000005
