TECHNOLOGY:Sector,YEAR,VALUE
PWR,2021,10.981426815360004
PWR,2022,10.98142681536
PWR,2023,10.98142681536
PWR,2024,15.747462495360013
PWR,2025,33.449880735360004
PWR,2026,33.44988073535977
PWR,2027,38.104939132379265
PWR,2028,38.10493913237926
PWR,2029,38.104939132379265
PWR,2030,38.10493913237926
PWR,2031,38.104939132379265
PWR,2032,38.10493913237971
PWR,2033,38.104939132379265
PWR,2034,38.104939132379265
PWR,2035,38.104939132379265
PWR,2036,38.10493913237926
PWR,2037,38.104939132379265
PWR,2038,38.104939132379265
PWR,2039,38.10493913237926
PWR,2040,38.10493913237926
PWR,2041,38.10493913237926
PWR,2042,38.10493913237926
PWR,2043,38.104939132379265
PWR,2044,38.104939132379265
PWR,2045,38.10493913237926
PWR,2046,27.12351231701925
PWR,2047,27.123512317019255
PWR,2048,27.12351231701925
PWR,2049,27.123512317019255
PWR,2050,27.12351231701926
TRA,2021,6.190352
TRA,2022,6.196903
TRA,2023,6.210812
TRA,2024,6.231967
TRA,2025,6.263242
TRA,2026,6.28864
TRA,2027,6.320242000000001
TRA,2028,6.354965999999997
TRA,2029,6.383951999999996
TRA,2030,6.420462999999996
TRA,2031,6.462999999999998
TRA,2032,6.3480000000000025
TRA,2033,6.2170000000000005
TRA,2034,6.09299999999999
TRA,2035,5.973999999999993
TRA,2036,5.815619000000001
TRA,2037,5.577315
TRA,2038,5.339104999999999
TRA,2039,5.101046999999999
TRA,2040,4.861948999999999
TRA,2041,4.623151
TRA,2042,4.335181999999999
TRA,2043,4.039956999999999
TRA,2044,3.736653999999999
TRA,2045,3.4252589999999996
TRA,2046,3.174937999999999
TRA,2047,2.9013979999999977
TRA,2048,2.6160000000000014
TRA,2049,2.2859999999999987
TRA,2050,1.9195209999999963
