YEAR,CostType,VALUE
2029,CAP,6050.912928231214
2030,CAP,6532.797039725617
2031,CAP,6944.847122000393
2032,CAP,4064.868435626953
2033,CAP,2787.8156734749296
2034,CAP,2470.8088772502924
2035,CAP,2255.472653400053
2036,CAP,2915.159501591392
2037,CAP,6321.307585159317
2038,CAP,6933.642150540465
2039,CAP,7114.352248217293
2040,CAP,7915.522357823403
2041,CAP,7331.045245929053
2042,CAP,7459.886926127248
2043,CAP,7596.696882541823
2044,CAP,7658.230897642612
2045,CAP,8034.031227270691
2046,CAP,8182.122605374254
2047,CAP,6391.39421282638
2048,CAP,6522.4244578744565
2049,CAP,7131.321497888219
2050,CAP,7424.648815893098
2051,CAP,7499.1498510764995
2052,CAP,10023.01361959938
2053,CAP,10452.46183731225
2054,CAP,11693.238083894146
2055,CAP,13994.911683618897
2024,CAP,4913.132448795553
2025,CAP,13379.587154411289
2021,CAP,2710.729552357368
2023,CAP,4188.6212795364245
2022,CAP,5842.2995268712875
2026,CAP,3909.2699653845125
2028,CAP,3054.0917015779473
2027,CAP,3078.0440166396584
2021,FIX,1266.5888293093167
2022,FIX,1304.240916975086
2023,FIX,1306.848366874798
2024,FIX,1362.47822575936
2025,FIX,1600.7376521445788
2026,FIX,1619.938080607305
2027,FIX,1622.9988460542083
2028,FIX,1626.2286647576802
2029,FIX,1680.6666525070102
2030,FIX,1737.7408374020692
2031,FIX,1804.8153880785933
2032,FIX,1868.6348001608337
2033,FIX,1913.9789848305693
2034,FIX,1955.2865923662944
2035,FIX,1984.0079500310046
2036,FIX,2024.747873508084
2037,FIX,2039.748859392334
2038,FIX,2057.9607000503015
2039,FIX,2075.6095273538135
2040,FIX,2082.866842085404
2041,FIX,2130.484251859789
2042,FIX,2178.172635322991
2043,FIX,2225.420937769387
2044,FIX,2270.353571640334
2045,FIX,2316.5105190473255
2046,FIX,2250.4296739989422
2047,FIX,2316.022571450682
2048,FIX,2376.355946340699
2049,FIX,2441.6656773407417
2050,FIX,2523.0568972357228
2051,FIX,2620.4142541188603
2052,FIX,2681.89364924409
2053,FIX,2743.9820380605966
2054,FIX,2808.3987129012776
2055,FIX,2749.632101059534
2021,VAR,12.887903525478627
2022,VAR,-186.9932148856131
2023,VAR,80.72684280389079
2024,VAR,137.65948802794654
2025,VAR,-733.7849779075644
2026,VAR,-675.5799835854507
2027,VAR,-579.5564712881102
2028,VAR,-469.6268854405244
2029,VAR,-651.4895890760455
2030,VAR,-1000.1915964006218
2031,VAR,-1399.626568558764
2032,VAR,-1725.739095210178
2033,VAR,-1858.4739730338838
2034,VAR,-1928.4100721084446
2035,VAR,-2064.6482803560593
2036,VAR,-2147.9424071904664
2037,VAR,-2275.5070213796735
2038,VAR,-2426.598420927789
2039,VAR,-2677.470444618821
2040,VAR,-3041.25748270704
2041,VAR,-3289.709853457088
2042,VAR,-3564.892297288726
2043,VAR,-3920.169112938323
2044,VAR,-4168.531196055183
2045,VAR,-4406.509286492576
2046,VAR,-4476.286076675262
2047,VAR,-4780.47584216125
2048,VAR,-5079.94044116089
2049,VAR,-5651.6128168104015
2050,VAR,-6241.0825448224905
2051,VAR,-6709.004867039273
2052,VAR,-7100.186699517917
2053,VAR,-7475.655517051566
2054,VAR,-7848.515218589183
2055,VAR,-7129.301232620014
