YEAR,CostType,VALUE
2029,CAP,7749.582279251919
2030,CAP,9562.143115274439
2031,CAP,9989.81489926113
2032,CAP,6239.637515740064
2033,CAP,4864.8282186475835
2034,CAP,4634.902517919618
2035,CAP,4804.089481445699
2036,CAP,5993.179107324574
2037,CAP,7565.081161173264
2038,CAP,9667.018423375797
2039,CAP,9943.147887039224
2040,CAP,10106.847886195836
2041,CAP,10532.364720964439
2042,CAP,10548.806025615973
2043,CAP,10574.35184482413
2044,CAP,10516.315659300444
2045,CAP,10776.542404829093
2046,CAP,10773.036873155688
2047,CAP,8582.367790791775
2049,CAP,9094.66942797386
2050,CAP,12668.870132039017
2051,CAP,9879.4396725439
2052,CAP,10678.603951614183
2053,CAP,12377.434801706859
2055,CAP,15763.227890332795
2024,CAP,5076.493705904695
2025,CAP,13566.342009183069
2021,CAP,2900.4583933830095
2023,CAP,4346.125513050937
2022,CAP,5740.862164537648
2026,CAP,5252.964106232265
2048,CAP,8694.868243411167
2054,CAP,13294.78192359012
2028,CAP,4393.376213897426
2027,CAP,4414.293803968043
2021,FIX,1272.4272780272654
2022,FIX,1301.0325037028792
2023,FIX,1297.6287643934954
2024,FIX,1346.9140639702505
2025,FIX,1579.2628868660559
2026,FIX,1625.9889277273328
2027,FIX,1656.4620873078277
2028,FIX,1687.1416603622467
2029,FIX,1767.7155683574467
2030,FIX,1818.7206418634107
2031,FIX,1877.4628246219077
2032,FIX,1945.2961785805899
2033,FIX,1989.5195447181627
2034,FIX,2029.5913721980319
2035,FIX,2068.5982633769913
2036,FIX,2120.7440351605287
2037,FIX,2129.045954491063
2038,FIX,2144.4223358755635
2039,FIX,2159.6745691586807
2040,FIX,2165.988187969263
2041,FIX,2198.7957712744383
2042,FIX,2230.4685378765944
2043,FIX,2260.3303872536335
2044,FIX,2288.7665881503176
2045,FIX,2354.5165810064664
2046,FIX,2308.2610912359137
2047,FIX,2387.1187447903044
2048,FIX,2398.4541397293415
2049,FIX,2473.44928466865
2050,FIX,2594.8722897714597
2051,FIX,2702.916603435475
2052,FIX,2787.5428064250923
2053,FIX,2881.6493473685423
2054,FIX,2967.900491862776
2055,FIX,2927.170436746918
2021,VAR,12.88790352547748
2022,VAR,-194.33484384961605
2023,VAR,62.19623723532385
2024,VAR,114.36314345742065
2025,VAR,-761.9998607414487
2026,VAR,-672.9127431950724
2027,VAR,-543.9790451069401
2028,VAR,-400.6535160459886
2029,VAR,-570.4651858639239
2030,VAR,-960.8517119505736
2031,VAR,-1409.0511407907288
2032,VAR,-1744.3304883229362
2033,VAR,-1868.7903057649567
2034,VAR,-1946.9471746173194
2035,VAR,-2102.5630253000572
2036,VAR,-2212.4247128510324
2037,VAR,-2349.616125106547
2038,VAR,-2578.4944001847452
2039,VAR,-2907.238936254167
2040,VAR,-3280.413618684951
2041,VAR,-3583.76657914947
2042,VAR,-3893.0552873516385
2043,VAR,-4276.924439757256
2044,VAR,-4530.248930446139
2045,VAR,-4703.6257507858945
2046,VAR,-4693.9059595710805
2047,VAR,-4904.561251781378
2048,VAR,-5113.454223868843
2049,VAR,-5569.554235588291
2050,VAR,-6056.349969285341
2051,VAR,-6383.646711898449
2052,VAR,-6542.826717168629
2053,VAR,-6694.972509005329
2054,VAR,-6835.428711105717
2055,VAR,-5911.198267204532
