YEAR,CostType,VALUE
2029,CAP,5159.008728434895
2030,CAP,5462.375700832784
2031,CAP,5808.404727975923
2032,CAP,3808.453559973978
2033,CAP,2282.9051309236684
2034,CAP,1961.8509298217105
2035,CAP,1565.0961795842063
2036,CAP,2243.348616402488
2037,CAP,3819.919414187188
2038,CAP,4324.1814452103645
2039,CAP,5690.781012509156
2040,CAP,6514.055774587788
2041,CAP,4513.517670570755
2042,CAP,4731.728007058063
2043,CAP,4679.855856811411
2044,CAP,4809.649205405795
2045,CAP,5401.936539093518
2046,CAP,5424.499514085004
2047,CAP,4031.8145299281064
2048,CAP,3870.313701500668
2049,CAP,4445.2632462963265
2050,CAP,4965.925286672805
2051,CAP,4972.2516928742725
2052,CAP,5817.401705015302
2053,CAP,6244.341925975499
2054,CAP,8349.603712660697
2055,CAP,10210.115308990951
2024,CAP,4914.364845145849
2025,CAP,11049.74049950334
2021,CAP,2710.729552357367
2023,CAP,4188.889859878219
2022,CAP,6356.488253546812
2026,CAP,2945.003828578893
2028,CAP,1957.376391793416
2027,CAP,2176.706618859232
2021,FIX,1266.5888293093167
2022,FIX,1277.6242054439085
2023,FIX,1286.9081994791522
2024,FIX,1342.5629762907197
2025,FIX,1523.4936475661455
2026,FIX,1518.1458854216364
2027,FIX,1491.563997800528
2028,FIX,1459.9623353522884
2029,FIX,1483.6764045603386
2030,FIX,1506.525473184599
2031,FIX,1537.4245957338335
2032,FIX,1590.0693716216936
2033,FIX,1619.4814721706007
2034,FIX,1642.134748437338
2035,FIX,1660.2124890114405
2036,FIX,1691.1886017551276
2037,FIX,1698.2804275363428
2038,FIX,1686.740220784552
2039,FIX,1686.726629459426
2040,FIX,1689.5683301595232
2041,FIX,1736.8981552269902
2042,FIX,1794.650782028014
2043,FIX,1852.8515850726267
2044,FIX,1909.4100153763452
2045,FIX,1965.6090305299842
2046,FIX,1909.6363525064767
2047,FIX,1969.5702557840937
2048,FIX,2029.9865718886972
2049,FIX,2100.391903609277
2050,FIX,2177.871497634115
2051,FIX,2263.083446547889
2052,FIX,2324.6301483192565
2053,FIX,2384.330219772872
2054,FIX,2445.910279790564
2055,FIX,2412.3865493591225
2021,VAR,12.887903525478404
2022,VAR,-210.60882153435222
2023,VAR,51.58480335232989
2024,VAR,113.6869312061972
2025,VAR,-395.9015068127471
2026,VAR,-353.42917885640685
2027,VAR,-262.6015168109795
2028,VAR,-180.65695583131162
2029,VAR,-389.68359294780123
2030,VAR,-759.1268074380143
2031,VAR,-1175.370826016427
2032,VAR,-1525.2249933753517
2033,VAR,-1652.7342627071055
2034,VAR,-1753.3983292222222
2035,VAR,-1902.9808175430026
2036,VAR,-2007.473305391054
2037,VAR,-1978.3400932898091
2038,VAR,-2113.8879281571753
2039,VAR,-2438.3058395420817
2040,VAR,-2907.557286899297
2041,VAR,-3119.4141521655033
2042,VAR,-3322.877236639988
2043,VAR,-3608.027451325748
2044,VAR,-3789.7039817035698
2045,VAR,-3982.1778331688106
2046,VAR,-4201.553971826913
2047,VAR,-4486.313439654467
2048,VAR,-4790.297180988592
2049,VAR,-5351.714744000469
2050,VAR,-5929.502947729189
2051,VAR,-6426.651084012276
2052,VAR,-6824.94578190522
2053,VAR,-7227.2032290434
2054,VAR,-7641.256162036268
2055,VAR,-7409.9981360005695
