YEAR,CostType,VALUE
2030,CAP,9110.00188619668
2031,CAP,10401.71084122163
2032,CAP,6125.40776701871
2033,CAP,4575.142293789303
2034,CAP,4473.048360949783
2035,CAP,4569.081669908483
2036,CAP,5709.854312239613
2037,CAP,7268.406110947225
2038,CAP,9095.93859069754
2039,CAP,9171.009209447175
2040,CAP,9257.48755177388
2041,CAP,9595.548794787073
2042,CAP,9520.680863721547
2043,CAP,9454.049299513217
2044,CAP,9289.291611899907
2045,CAP,9442.267147657272
2046,CAP,9319.882268105528
2047,CAP,7427.2947879584535
2048,CAP,7521.21440895422
2049,CAP,7759.531753595322
2050,CAP,11126.105083092323
2053,CAP,9870.552982198178
2054,CAP,10683.132739930139
2055,CAP,12249.289064798179
2024,CAP,5071.763165351848
2025,CAP,11287.253136560814
2021,CAP,2900.4583933830095
2023,CAP,4294.474994175383
2022,CAP,5739.349852123014
2026,CAP,5238.587272164329
2029,CAP,7930.755029092159
2028,CAP,4386.496582480088
2051,CAP,8188.58548932125
2052,CAP,8759.352733095238
2027,CAP,4359.515402288436
2021,FIX,1272.4272780272654
2022,FIX,1301.0173906540986
2023,FIX,1299.9145349189284
2024,FIX,1349.122595149774
2025,FIX,1524.8928957110707
2026,FIX,1571.4938606703954
2027,FIX,1600.957748147933
2028,FIX,1631.6400835681359
2029,FIX,1691.9667701207577
2030,FIX,1742.8646671734175
2031,FIX,1796.2257967156088
2032,FIX,1861.4772396388123
2033,FIX,1900.2997508487895
2034,FIX,1936.9049065073586
2035,FIX,1972.0953064366545
2036,FIX,2019.0759289179628
2037,FIX,2018.6211578893533
2038,FIX,2025.606141891909
2039,FIX,2029.9136057256544
2040,FIX,2023.8953913798782
2041,FIX,2042.9627258891423
2042,FIX,2059.421145689816
2043,FIX,2072.621869141702
2044,FIX,2106.828144669021
2045,FIX,2154.8653636202494
2046,FIX,2099.6298675719117
2047,FIX,2162.1439736265356
2048,FIX,2158.036673219758
2049,FIX,2215.2468315861656
2050,FIX,2317.0409775782887
2051,FIX,2413.6489200337965
2052,FIX,2491.4744459427534
2053,FIX,2572.6571469345404
2054,FIX,2645.358628642455
2055,FIX,2625.4075830056595
2021,VAR,12.887903525478169
2022,VAR,-194.33484384961582
2023,VAR,62.36163486681425
2024,VAR,114.49562120324424
2025,VAR,-412.9143430406023
2026,VAR,-323.44501138311233
2027,VAR,-179.48401952023087
2028,VAR,-32.46388076219894
2029,VAR,-205.84884445836434
2030,VAR,-580.1846164452367
2031,VAR,-1068.4941896472524
2032,VAR,-1402.0196715445954
2033,VAR,-1501.2549001693856
2034,VAR,-1577.8341967232507
2035,VAR,-1750.7485546786468
2036,VAR,-1861.572840265003
2037,VAR,-2017.7788379781641
2038,VAR,-2249.9543946566587
2039,VAR,-2561.561540845079
2040,VAR,-2913.6581546376565
2041,VAR,-3195.8578864421966
2042,VAR,-3483.3365555463142
2043,VAR,-3844.233275596513
2044,VAR,-4063.4983775423825
2045,VAR,-4225.897216943498
2046,VAR,-4323.130704496342
2047,VAR,-4489.117264080638
2048,VAR,-4680.822103228529
2049,VAR,-5114.336201875344
2050,VAR,-5560.295995496418
2051,VAR,-5883.879280833929
2052,VAR,-6040.014449998586
2053,VAR,-6187.337734764523
2054,VAR,-6323.1553451581285
2055,VAR,-5762.703713967012
