YEAR,CostType,VALUE
2029,CAP,4820.9580846857525
2030,CAP,5645.761406803466
2031,CAP,5958.29787456837
2032,CAP,3990.427745489161
2033,CAP,2405.8599099601593
2034,CAP,2246.8930130915705
2035,CAP,1903.8279337810964
2036,CAP,2471.6242604904614
2037,CAP,6411.255567983469
2038,CAP,4788.95839240879
2039,CAP,5929.697832570073
2040,CAP,6496.403603615454
2041,CAP,5583.011486635917
2042,CAP,5525.528933437843
2043,CAP,5505.074253269191
2044,CAP,5181.309957537578
2045,CAP,5546.3107752975075
2046,CAP,5500.40272806392
2047,CAP,4321.215679543219
2048,CAP,4433.439999509078
2049,CAP,4508.126098286034
2050,CAP,5053.447522701714
2051,CAP,4968.135307583046
2052,CAP,6616.254680395829
2053,CAP,5677.6323827749475
2054,CAP,7090.061683637862
2055,CAP,8320.917128973437
2024,CAP,5022.913489802141
2025,CAP,9107.986168291249
2021,CAP,2710.729552357368
2023,CAP,4295.199363889861
2022,CAP,6356.446239546809
2026,CAP,3335.611238088868
2028,CAP,2364.5708553159698
2027,CAP,2356.071689660639
2021,FIX,1266.5888293093167
2022,FIX,1277.6237854439084
2023,FIX,1283.4002393458697
2024,FIX,1335.1081458680978
2025,FIX,1446.3082073619694
2026,FIX,1442.7175710397194
2027,FIX,1419.9427438922444
2028,FIX,1397.3209658387393
2029,FIX,1414.3483312701096
2030,FIX,1440.938047716116
2031,FIX,1474.7430005727724
2032,FIX,1530.0986477596966
2033,FIX,1561.6179253949601
2034,FIX,1590.665298681028
2035,FIX,1613.3992439444837
2036,FIX,1645.909761242405
2037,FIX,1674.5055746484936
2038,FIX,1663.730492723038
2039,FIX,1658.1019380695511
2040,FIX,1663.1555272631078
2041,FIX,1705.2632281831625
2042,FIX,1746.9636638254792
2043,FIX,1787.9028433466033
2044,FIX,1827.32753082025
2045,FIX,1865.6916927933826
2046,FIX,1790.435417388128
2047,FIX,1843.4429463577458
2048,FIX,1865.726622281083
2049,FIX,1916.648291368876
2050,FIX,1979.1783101658075
2051,FIX,2056.5194052550096
2052,FIX,2098.7558768812037
2053,FIX,2141.7502070779233
2054,FIX,2189.2283415566835
2055,FIX,2179.8658957077814
2021,VAR,12.887903525478542
2022,VAR,-210.60882153435153
2023,VAR,42.27084315558869
2024,VAR,98.13736399753803
2025,VAR,-87.41054985743736
2026,VAR,-26.85243228249758
2027,VAR,85.29078733223675
2028,VAR,201.41937659356972
2029,VAR,29.668341662793644
2030,VAR,-308.1779886710086
2031,VAR,-696.7201850864852
2032,VAR,-1017.0902648548687
2033,VAR,-1104.4760365821433
2034,VAR,-1175.1883975279825
2035,VAR,-1316.8636044631091
2036,VAR,-1403.822722353579
2037,VAR,-1570.7003831135205
2038,VAR,-1736.903212172863
2039,VAR,-2079.5269781130764
2040,VAR,-2452.7230736012593
2041,VAR,-2689.891953151866
2042,VAR,-2954.229364125512
2043,VAR,-3289.8017891127606
2044,VAR,-3495.0478887581753
2045,VAR,-3707.0897784737413
2046,VAR,-4084.3173766339555
2047,VAR,-4302.1299760471475
2048,VAR,-4555.846093250138
2049,VAR,-5078.993759732272
2050,VAR,-5593.896291667422
2051,VAR,-6037.99438726731
2052,VAR,-6340.373880777589
2053,VAR,-6640.8298695749
2054,VAR,-6932.511319722813
2055,VAR,-6987.646627249962
