YEAR,CostType,VALUE
2029,CAP,5254.831199170218
2030,CAP,5748.057396463359
2031,CAP,6109.376289208045
2032,CAP,4074.327069488362
2033,CAP,2595.6659884996734
2034,CAP,2431.4071775812668
2035,CAP,2756.370395766884
2036,CAP,2964.489618789742
2037,CAP,6815.977444867166
2038,CAP,5746.080407560226
2039,CAP,7289.725745600701
2040,CAP,8890.18872881277
2041,CAP,6809.323909964738
2042,CAP,6848.589878270022
2043,CAP,6920.880672312499
2044,CAP,6591.3609383962985
2045,CAP,7184.019036758044
2046,CAP,7251.670471667734
2047,CAP,5295.874194330455
2048,CAP,5528.3542110631015
2049,CAP,7009.976642459209
2050,CAP,12102.438642567817
2051,CAP,6501.984146381556
2052,CAP,8525.42272072639
2054,CAP,10049.444260761366
2055,CAP,13415.226751184047
2024,CAP,5569.56164446234
2025,CAP,14484.339670181691
2021,CAP,2710.729552357368
2023,CAP,4304.720974473732
2022,CAP,6422.660766486615
2026,CAP,3352.326516740181
2028,CAP,2417.890645851923
2053,CAP,7575.034661087931
2027,CAP,2445.2392881531223
2021,FIX,1266.5888293093167
2022,FIX,1275.6584724636725
2023,FIX,1281.4413791778934
2024,FIX,1320.6779176994703
2025,FIX,1532.827493165415
2026,FIX,1529.61877182645
2027,FIX,1506.324164709763
2028,FIX,1482.5307799176655
2029,FIX,1504.5072102765198
2030,FIX,1530.5076284519541
2031,FIX,1564.917857197312
2032,FIX,1620.0673229021909
2033,FIX,1653.0117230772646
2034,FIX,1678.653160414974
2035,FIX,1709.7626962160423
2036,FIX,1742.1428147437905
2037,FIX,1767.9821863070558
2038,FIX,1758.525935894963
2039,FIX,1764.7418649384465
2040,FIX,1788.9281705023664
2041,FIX,1842.1570920309493
2042,FIX,1896.2880863261025
2043,FIX,1950.8038927218672
2044,FIX,2004.8616613849576
2045,FIX,2059.7447549733806
2046,FIX,2002.4694077493623
2047,FIX,2067.8728932743734
2048,FIX,2090.5389646191798
2049,FIX,2168.044665069873
2050,FIX,2293.7552154763557
2051,FIX,2381.097544527767
2052,FIX,2427.4985017679796
2053,FIX,2478.296109010782
2054,FIX,2536.538253114741
2055,FIX,2463.6679563984353
2021,VAR,12.887903525477256
2022,VAR,-215.1484863121688
2023,VAR,36.672719203869995
2024,VAR,78.38445628646319
2025,VAR,-828.634996805984
2026,VAR,-787.8375095903376
2027,VAR,-702.8222698255977
2028,VAR,-601.2335731235622
2029,VAR,-827.742968199566
2030,VAR,-1182.4987105516393
2031,VAR,-1590.6916157206856
2032,VAR,-1929.457638834323
2033,VAR,-2052.3182019431397
2034,VAR,-2136.9926276328056
2035,VAR,-2288.873586648501
2036,VAR,-2415.950939348165
2037,VAR,-2540.7238849160403
2038,VAR,-2733.5937526936727
2039,VAR,-3045.077281328793
2040,VAR,-3422.8182522605657
2041,VAR,-3700.3535917010304
2042,VAR,-4006.4033881462205
2043,VAR,-4385.4471609666525
2044,VAR,-4635.560284373002
2045,VAR,-4894.751402458291
2046,VAR,-4973.435351370256
2047,VAR,-5243.938945045842
2048,VAR,-5538.3128416993895
2049,VAR,-6146.263468310968
2050,VAR,-6769.255982735765
2051,VAR,-7200.9954220736445
2052,VAR,-7461.145169932831
2053,VAR,-7725.741972451235
2054,VAR,-7993.948224567519
2055,VAR,-7218.327792738525
