YEAR,CostType,VALUE
2029,CAP,6017.284943511105
2030,CAP,7340.530009076489
2031,CAP,7295.209253506429
2032,CAP,4304.024198668557
2033,CAP,2595.4665098602477
2034,CAP,3102.347330000109
2035,CAP,2296.6692942313557
2036,CAP,3073.9144655543037
2037,CAP,6984.7225064394215
2038,CAP,5984.370355351324
2039,CAP,6932.64285477621
2040,CAP,7143.442644228238
2041,CAP,6754.316836699404
2042,CAP,6604.972481995736
2043,CAP,6863.181053036991
2044,CAP,6995.913383702446
2045,CAP,8402.268557085114
2046,CAP,8311.213332501064
2047,CAP,5752.664360207184
2048,CAP,5706.506668039034
2049,CAP,6570.223329830178
2050,CAP,7944.18877871028
2051,CAP,6580.855269157958
2053,CAP,9023.370506504423
2054,CAP,10701.22281672931
2055,CAP,11687.617481262112
2024,CAP,5033.078582940353
2025,CAP,8817.520046523166
2021,CAP,2710.729552357368
2023,CAP,4302.273048358401
2022,CAP,6462.178761209416
2026,CAP,4539.210374612184
2028,CAP,3466.717379314673
2052,CAP,9203.671757813689
2027,CAP,3071.171931728734
2021,FIX,1266.5888293093167
2022,FIX,1274.4329521024333
2023,FIX,1280.12342191718
2024,FIX,1331.834598095668
2025,FIX,1448.9689684171258
2026,FIX,1459.9996372933265
2027,FIX,1447.4244602504505
2028,FIX,1436.8317344743339
2029,FIX,1467.8738077791375
2030,FIX,1511.3679362547045
2031,FIX,1558.6662397404996
2032,FIX,1617.6364171308344
2033,FIX,1647.7938476052711
2034,FIX,1679.8726735400144
2035,FIX,1703.695618359611
2036,FIX,1739.719426527129
2037,FIX,1780.8261421503248
2038,FIX,1795.2785990904658
2039,FIX,1816.8768368592198
2040,FIX,1833.5985609042375
2041,FIX,1900.2449488684977
2042,FIX,1964.3675857363842
2043,FIX,2028.3295584779714
2044,FIX,2090.951580838823
2045,FIX,2152.1615976496155
2046,FIX,2097.264369706537
2047,FIX,2165.077450997865
2048,FIX,2222.731191773844
2049,FIX,2294.5756437382183
2050,FIX,2387.791586177092
2051,FIX,2477.2113129842205
2052,FIX,2536.753416616913
2053,FIX,2610.8908466138287
2054,FIX,2686.2043160030316
2055,FIX,2709.201466663737
2021,VAR,12.887903525478634
2022,VAR,-217.94871449071923
2023,VAR,33.219595415252904
2024,VAR,90.6853456884889
2025,VAR,-80.65024904132883
2026,VAR,-16.277166061799516
2027,VAR,89.17976366566634
2028,VAR,186.15645804069183
2029,VAR,41.292276148287286
2030,VAR,-314.1510344751532
2031,VAR,-721.2275289312126
2032,VAR,-1036.2668207635738
2033,VAR,-1133.2495619621811
2034,VAR,-1196.7712395112874
2035,VAR,-1317.6624407347913
2036,VAR,-1385.4744154782582
2037,VAR,-1463.060936564188
2038,VAR,-1574.3176434433299
2039,VAR,-1794.5960453466641
2040,VAR,-2045.3417553494533
2041,VAR,-2167.049513895924
2042,VAR,-2331.6739202406684
2043,VAR,-2594.5818966064544
2044,VAR,-2720.689057822414
2045,VAR,-2867.3377759465457
2046,VAR,-3241.958974771103
2047,VAR,-3421.582028445772
2048,VAR,-3623.598686783003
2049,VAR,-4083.1314728634875
2050,VAR,-4616.219302358566
2051,VAR,-4972.61528432142
2052,VAR,-5199.014862947116
2053,VAR,-5462.217539933713
2054,VAR,-5723.993724744691
2055,VAR,-5743.751589771068
