YEAR,CostType,VALUE
2029,CAP,4992.499394656971
2030,CAP,5618.627972529973
2031,CAP,5920.324511176163
2032,CAP,3963.683152593906
2033,CAP,2396.5532842482526
2034,CAP,2068.5663719138097
2035,CAP,1748.3471890320448
2036,CAP,2342.260744156417
2037,CAP,4188.39354065875
2038,CAP,4701.28065870498
2039,CAP,6199.314401753797
2040,CAP,6406.626625390305
2041,CAP,5119.029952438701
2042,CAP,5339.532046440201
2043,CAP,5121.477817718656
2044,CAP,5195.649574394671
2045,CAP,5388.662239709119
2046,CAP,5327.494793892236
2047,CAP,3979.6178589365527
2048,CAP,4117.006118393592
2049,CAP,4340.47534535433
2050,CAP,4881.975938647881
2051,CAP,4783.808575560377
2052,CAP,5075.356899051767
2053,CAP,5445.019173693623
2054,CAP,7172.356057182916
2055,CAP,8101.207572812832
2024,CAP,4914.364845145853
2025,CAP,8780.264543149495
2021,CAP,2710.729552357368
2023,CAP,4188.865851878218
2022,CAP,6356.446239546811
2026,CAP,3316.3971503391735
2028,CAP,2188.2195638678413
2027,CAP,2330.7537448679273
2021,FIX,1266.5888293093167
2022,FIX,1277.6237854439084
2023,FIX,1286.9071194791522
2024,FIX,1342.56135629072
2025,FIX,1460.4465052115092
2026,FIX,1456.1163808512808
2027,FIX,1432.3106480022352
2028,FIX,1404.406059324876
2029,FIX,1425.3547116775799
2030,FIX,1450.7879962197287
2031,FIX,1483.1387776997253
2032,FIX,1537.3878796245583
2033,FIX,1567.8043165883519
2034,FIX,1591.140311379739
2035,FIX,1611.4324451227226
2036,FIX,1643.0683907815564
2037,FIX,1651.7881270203309
2038,FIX,1635.4578882863505
2039,FIX,1631.311844053965
2040,FIX,1627.0222066086192
2041,FIX,1665.7623146196536
2042,FIX,1707.858213799144
2043,FIX,1750.8696084276637
2044,FIX,1789.078903468382
2045,FIX,1828.264526530286
2046,FIX,1754.2092363226213
2047,FIX,1805.565342010843
2048,FIX,1832.8919011356716
2049,FIX,1891.445863892404
2050,FIX,1955.6274728653248
2051,FIX,2031.5516151632075
2052,FIX,2068.3058878438114
2053,FIX,2110.50001145229
2054,FIX,2153.4894776945252
2055,FIX,2143.354307952148
2021,VAR,12.887903525478166
2022,VAR,-210.60882153435222
2023,VAR,51.58480335232921
2024,VAR,113.68693120619629
2025,VAR,-56.89204154666524
2026,VAR,-8.986634048079406
2027,VAR,103.01204944644661
2028,VAR,194.74883157160716
2029,VAR,37.05466141885796
2030,VAR,-319.4872035005965
2031,VAR,-719.2478947850535
2032,VAR,-1052.872231895813
2033,VAR,-1160.4227829688475
2034,VAR,-1244.8176516968324
2035,VAR,-1390.4640535134122
2036,VAR,-1479.332054348374
2037,VAR,-1466.3919790021907
2038,VAR,-1639.0382312013792
2039,VAR,-2041.8450201504406
2040,VAR,-2523.375883585278
2041,VAR,-2776.640013143076
2042,VAR,-3039.760061184808
2043,VAR,-3370.3751280448337
2044,VAR,-3592.8511915222984
2045,VAR,-3797.412259773814
2046,VAR,-4188.268822095235
2047,VAR,-4436.928446868794
2048,VAR,-4753.2882695999015
2049,VAR,-5273.782891030779
2050,VAR,-5821.384538584649
2051,VAR,-6299.852581933369
2052,VAR,-6639.395146898895
2053,VAR,-6980.153707168257
2054,VAR,-7325.377099903636
2055,VAR,-7435.151467402795
