YEAR,CostType,VALUE
2030,CAP,6766.921516004775
2031,CAP,8405.778529873924
2032,CAP,4634.28102020508
2033,CAP,3221.811010533821
2034,CAP,3131.461271302467
2035,CAP,3292.477182457506
2036,CAP,4622.823956968229
2037,CAP,6635.951280140122
2038,CAP,8883.313941657516
2039,CAP,9205.141692748934
2040,CAP,9468.922348465005
2041,CAP,8672.134085541531
2042,CAP,8837.282352264192
2043,CAP,9025.95160322711
2044,CAP,9129.530785382043
2045,CAP,9549.748022789785
2046,CAP,9719.208876960023
2047,CAP,7188.736940001207
2048,CAP,7484.994341693012
2049,CAP,8088.37190484742
2050,CAP,11824.449909948244
2051,CAP,9419.66849696057
2052,CAP,10489.269177336839
2054,CAP,13524.500764037888
2055,CAP,14992.254642989987
2024,CAP,5081.223195693312
2025,CAP,8829.881224775168
2021,CAP,2900.4583933830095
2023,CAP,4349.205661376141
2022,CAP,5742.373469415697
2026,CAP,4065.801368093619
2029,CAP,5921.362087272962
2028,CAP,3140.2628461767445
2053,CAP,12548.134460908852
2027,CAP,3066.919691802374
2021,FIX,1272.4272780272654
2022,FIX,1301.0476167516597
2023,FIX,1297.689781710569
2024,FIX,1347.0528743361042
2025,FIX,1462.3680799071192
2026,FIX,1482.9947447972638
2027,FIX,1484.836240876923
2028,FIX,1488.4516622491128
2029,FIX,1539.5270466581972
2030,FIX,1595.8309667278895
2031,FIX,1640.0164456830566
2032,FIX,1695.0023221020333
2033,FIX,1724.8141988151938
2034,FIX,1752.50955014737
2035,FIX,1779.7786012899812
2036,FIX,1821.3597862154156
2037,FIX,1823.6895291866615
2038,FIX,1834.5925850050292
2039,FIX,1846.3774641367868
2040,FIX,1852.8217526779863
2041,FIX,1897.0947735226755
2042,FIX,1942.1255402146053
2043,FIX,1987.4966588511797
2044,FIX,2031.2869065460814
2045,FIX,2077.186207053418
2046,FIX,2034.788621828145
2047,FIX,2116.3262884488886
2048,FIX,2142.638024437785
2049,FIX,2229.0916190578064
2050,FIX,2357.3337194515857
2051,FIX,2466.220431643247
2052,FIX,2550.0043280120462
2053,FIX,2643.631155552578
2054,FIX,2730.8790905621877
2055,FIX,2772.964063621813
2021,VAR,12.887903525478396
2022,VAR,-194.33484384961605
2023,VAR,62.19623723532409
2024,VAR,114.36314345742042
2025,VAR,-54.38285023291875
2026,VAR,-2.7926185186620134
2027,VAR,113.31382000361258
2028,VAR,228.14794386374737
2029,VAR,69.19231328707882
2030,VAR,-284.52660250148944
2031,VAR,-744.1118287040222
2032,VAR,-1092.27146347293
2033,VAR,-1219.1450211735298
2034,VAR,-1316.4461414129114
2035,VAR,-1502.003243768386
2036,VAR,-1638.5719281859037
2037,VAR,-1804.7378773711118
2038,VAR,-2067.5968220489
2039,VAR,-2402.6473135933425
2040,VAR,-2768.752298079961
2041,VAR,-3039.0316491082626
2042,VAR,-3320.9566995804785
2043,VAR,-3676.1875236611486
2044,VAR,-3918.65706745376
2045,VAR,-4134.427099275922
2046,VAR,-4476.597146396591
2047,VAR,-4678.325466174654
2048,VAR,-4898.567067087307
2049,VAR,-5373.35527541546
2050,VAR,-5888.081373810469
2051,VAR,-6298.800683888789
2052,VAR,-6532.437973802854
2053,VAR,-6764.431929260458
2054,VAR,-6994.027151228235
2055,VAR,-6970.752522434345
