YEAR,CostType,VALUE
2029,CAP,5267.651131229749
2030,CAP,5630.149183630894
2031,CAP,5967.010270130041
2032,CAP,3974.9977481000947
2033,CAP,2356.0400036231295
2034,CAP,2092.2004651452994
2035,CAP,1828.638659439195
2036,CAP,2379.115655019556
2037,CAP,3949.672087673231
2038,CAP,4396.372028387136
2039,CAP,6550.676705082066
2040,CAP,6801.933854218541
2041,CAP,4976.241821003086
2042,CAP,5162.681700617261
2043,CAP,5071.922920945859
2044,CAP,5143.661873748147
2045,CAP,5413.563402572657
2046,CAP,5413.036214936076
2047,CAP,4158.505545173836
2048,CAP,4079.451321577915
2049,CAP,4545.240086659878
2050,CAP,5169.990114136522
2051,CAP,5082.367379834062
2052,CAP,6036.0075126064585
2053,CAP,6306.808823266746
2054,CAP,8432.548828467681
2055,CAP,9908.366738894674
2024,CAP,4914.364845145854
2025,CAP,11128.537071264644
2021,CAP,2710.729552357368
2023,CAP,4188.877855878219
2022,CAP,6356.46725354681
2026,CAP,3237.2059153213577
2028,CAP,2140.6606166718716
2027,CAP,2305.341478670397
2021,FIX,1266.5888293093167
2022,FIX,1277.6239954439086
2023,FIX,1286.9076594791522
2024,FIX,1342.56216629072
2025,FIX,1524.7524590187313
2026,FIX,1519.3084489087928
2027,FIX,1494.9404368299524
2028,FIX,1466.3694861498166
2029,FIX,1491.8546435711496
2030,FIX,1517.4334861506866
2031,FIX,1550.8023586856627
2032,FIX,1605.5328780634102
2033,FIX,1635.6654697511926
2034,FIX,1659.7064040261323
2035,FIX,1681.619434406131
2036,FIX,1714.1885721594579
2037,FIX,1725.3991070456614
2038,FIX,1715.2967150563632
2039,FIX,1715.6045561284905
2040,FIX,1711.4492217548495
2041,FIX,1759.6228355885032
2042,FIX,1813.8303840424148
2043,FIX,1867.9766562170566
2044,FIX,1919.9070789350014
2045,FIX,1973.687749809214
2046,FIX,1915.0765811959643
2047,FIX,1970.841800388385
2048,FIX,2022.7004944383004
2049,FIX,2086.392172851724
2050,FIX,2156.2541329833666
2051,FIX,2235.0192116295298
2052,FIX,2277.8343409726976
2053,FIX,2317.862528540171
2054,FIX,2365.787256037387
2055,FIX,2318.8300244262987
2021,VAR,12.887903525478393
2022,VAR,-210.60882153435176
2023,VAR,51.58480335233012
2024,VAR,113.6869312061972
2025,VAR,-406.56792436350696
2026,VAR,-360.4206195191956
2027,VAR,-248.04079764022
2028,VAR,-155.80655573653706
2029,VAR,-347.15396596579654
2030,VAR,-705.4304996228034
2031,VAR,-1109.4270075338256
2032,VAR,-1447.134259401008
2033,VAR,-1549.6385578186305
2034,VAR,-1637.3777701486454
2035,VAR,-1792.3727133245923
2036,VAR,-1884.553586694292
2037,VAR,-1842.4324313716077
2038,VAR,-1965.570504415966
2039,VAR,-2374.958486640282
2040,VAR,-2886.0548908566057
2041,VAR,-3120.2755150643898
2042,VAR,-3353.190949795318
2043,VAR,-3667.5861714150424
2044,VAR,-3875.0777031068246
2045,VAR,-4056.677071759874
2046,VAR,-4264.244344832805
2047,VAR,-4543.439860048775
2048,VAR,-4859.873903779919
2049,VAR,-5416.228045620065
2050,VAR,-5997.149319681
2051,VAR,-6497.216952745013
2052,VAR,-6928.134240742055
2053,VAR,-7348.494128598146
2054,VAR,-7722.0468105778045
2055,VAR,-7435.172173664786
