YEAR,CostType,VALUE
2029,CAP,4801.455296013634
2030,CAP,5652.410069909152
2031,CAP,5954.131275675033
2032,CAP,4020.8652814841507
2033,CAP,2428.4645826452875
2034,CAP,2204.550983420449
2035,CAP,2093.1693834476955
2036,CAP,2419.768759309445
2037,CAP,6143.977458366986
2038,CAP,5097.325079396894
2039,CAP,5952.381529967731
2040,CAP,7582.351902894286
2041,CAP,5487.921014947754
2042,CAP,5771.145416386969
2043,CAP,5548.770301507539
2044,CAP,5676.217441125927
2045,CAP,5912.9147238397045
2046,CAP,5878.793954369072
2047,CAP,4199.189035918381
2048,CAP,4419.311542807122
2049,CAP,5495.918668228414
2050,CAP,10298.769563272059
2051,CAP,4999.058895119543
2052,CAP,6317.326570124879
2054,CAP,7087.170775623252
2055,CAP,9097.753882738654
2024,CAP,4914.3648451458475
2025,CAP,9765.124717823155
2021,CAP,2710.729552357368
2023,CAP,4188.87785587822
2022,CAP,6356.467253546811
2026,CAP,3327.174030911767
2028,CAP,2336.264076667307
2053,CAP,5519.781104932453
2027,CAP,2374.2568848655465
2021,FIX,1266.5888293093167
2022,FIX,1277.6239954439086
2023,FIX,1286.9076594791522
2024,FIX,1342.5621662907197
2025,FIX,1438.11294879998
2026,FIX,1433.8238769100014
2027,FIX,1410.5620836094108
2028,FIX,1385.1409247614765
2029,FIX,1402.7555186095765
2030,FIX,1428.7286256273321
2031,FIX,1461.5708485266384
2032,FIX,1514.1864812488338
2033,FIX,1542.5507014936704
2034,FIX,1560.7695938734378
2035,FIX,1581.2633578455307
2036,FIX,1606.9697853941036
2037,FIX,1621.543885662592
2038,FIX,1602.011550118033
2039,FIX,1576.4215591654734
2040,FIX,1591.0830276837573
2041,FIX,1630.799542472029
2042,FIX,1674.5273376597274
2043,FIX,1719.2322841835064
2044,FIX,1760.2487717778988
2045,FIX,1802.1806553256527
2046,FIX,1731.2153383269201
2047,FIX,1782.8964406950524
2048,FIX,1798.4333380600035
2049,FIX,1865.8143472656527
2050,FIX,1979.7143322543122
2051,FIX,2057.424518622587
2052,FIX,2099.5435399104636
2053,FIX,2139.222833454737
2054,FIX,2188.8065082201597
2055,FIX,2186.539076617337
2021,VAR,12.887903525478169
2022,VAR,-210.60882153435267
2023,VAR,51.58480335233036
2024,VAR,113.68693120619743
2025,VAR,-91.04537635919121
2026,VAR,-48.55954378603785
2027,VAR,46.51555940179778
2028,VAR,114.31836859166548
2029,VAR,-35.22888593295757
2030,VAR,-405.2030783873771
2031,VAR,-819.9105912097347
2032,VAR,-1165.0047308495782
2033,VAR,-1282.0703324714787
2034,VAR,-1377.3569288529502
2035,VAR,-1546.0243376999485
2036,VAR,-1656.733081025092
2037,VAR,-1805.9901258840061
2038,VAR,-2005.698654433098
2039,VAR,-2338.1239856412394
2040,VAR,-2675.9979542280935
2041,VAR,-2931.470891390434
2042,VAR,-3191.4618351211693
2043,VAR,-3517.554359742996
2044,VAR,-3727.0553873910403
2045,VAR,-3930.1749786628543
2046,VAR,-4313.997941173731
2047,VAR,-4551.051326976447
2048,VAR,-4861.583280415361
2049,VAR,-5405.844192881308
2050,VAR,-5965.964367721694
2051,VAR,-6418.402460734112
2052,VAR,-6704.408670612578
2053,VAR,-6998.397284982199
2054,VAR,-7300.421080972655
2055,VAR,-7369.304159460205
