YEAR,CostType,VALUE
2022,CAP,4379.921269498425
2023,CAP,3708.272805911531
2024,CAP,3863.8427366068195
2025,CAP,3916.9721714596485
2026,CAP,1903.5829625829126
2027,CAP,2071.0140066899385
2028,CAP,2205.409723344604
2029,CAP,1913.1853070411191
2030,CAP,2254.5764538129215
2031,CAP,2288.0995876639786
2032,CAP,900.551863076325
2033,CAP,1076.3671024813063
2034,CAP,1111.8386968927712
2035,CAP,1155.186396904888
2036,CAP,1067.8193024009292
2037,CAP,3220.909908895995
2038,CAP,4506.579663387342
2039,CAP,4960.021190716256
2040,CAP,5263.763744986792
2041,CAP,2842.837585119891
2042,CAP,2915.418889070155
2043,CAP,2984.3188309665056
2044,CAP,2887.447022227472
2045,CAP,3143.2277996309867
2046,CAP,3223.233558438438
2047,CAP,2122.8894583656274
2048,CAP,2258.9274549971306
2049,CAP,2099.156320514049
2050,CAP,2479.7277706446525
2051,CAP,2876.192959986637
2052,CAP,4999.403566663174
2053,CAP,6249.801269696582
2054,CAP,7109.801244873795
2055,CAP,7483.925904853552
2021,CAP,9.27355897435918
2021,FIX,756.6302112820513
2022,FIX,744.5083041235849
2023,FIX,747.9475662886485
2024,FIX,787.7626226467081
2025,FIX,822.0875639687719
2026,FIX,804.4543077300259
2027,FIX,787.4411104896809
2028,FIX,766.9131470692088
2029,FIX,741.484200228175
2030,FIX,721.5783544950943
2031,FIX,702.1627291150313
2032,FIX,713.61990244053
2033,FIX,728.7234844332207
2034,FIX,744.354129247844
2035,FIX,760.5728366421939
2036,FIX,777.2184452785411
2037,FIX,771.2452721278321
2038,FIX,757.8637617786717
2039,FIX,743.5754885000428
2040,FIX,729.6405256195237
2041,FIX,744.6228968917638
2042,FIX,760.1912820967707
2043,FIX,780.7650998630093
2044,FIX,801.1730353414357
2045,FIX,823.3820637086026
2046,FIX,846.2282923535811
2047,FIX,869.9321723405398
2048,FIX,895.1484947138604
2049,FIX,906.498280434972
2050,FIX,933.3790261363783
2051,FIX,965.6641574483081
2052,FIX,999.4780606019009
2053,FIX,1034.8479978003174
2054,FIX,1071.631435510821
2055,FIX,1111.0397699363054
