YEAR,CostType,VALUE
2048,CAP,2624.421131169534
2049,CAP,2987.223539271916
2050,CAP,2977.5864781742384
2051,CAP,3533.4167856466806
2052,CAP,6466.407384060178
2022,CAP,4391.078738041193
2023,CAP,3708.2608019115323
2024,CAP,3863.84273660682
2025,CAP,4032.0673682468605
2026,CAP,2842.083606635527
2027,CAP,2667.8624483315566
2028,CAP,2858.13502729113
2029,CAP,3048.9958246844517
2030,CAP,3804.2358877091847
2031,CAP,3462.794762279224
2032,CAP,1113.1993162381048
2033,CAP,1091.1646690175294
2034,CAP,1306.023366684045
2035,CAP,1333.9913169874042
2036,CAP,1249.3998421000204
2037,CAP,4130.115292222255
2038,CAP,5256.996896305907
2039,CAP,5136.881857194789
2040,CAP,5301.882783009556
2041,CAP,4066.8357807051257
2042,CAP,3568.0574009573297
2043,CAP,3817.400733138496
2044,CAP,3996.366725248256
2045,CAP,4636.987358615151
2046,CAP,4297.776326514496
2047,CAP,2486.816488732701
2053,CAP,6941.129430238712
2054,CAP,7361.702855028074
2055,CAP,7615.905082156636
2021,CAP,9.273558974359329
2048,FIX,1053.1128836155817
2049,FIX,1071.325267848006
2050,FIX,1098.842875364141
2051,FIX,1135.4475969327718
2052,FIX,1168.5989161641248
2053,FIX,1212.204902282666
2054,FIX,1257.4337893457603
2055,FIX,1305.6270309948338
2021,FIX,756.6302112820513
2022,FIX,743.9294175998709
2023,FIX,747.5133852788608
2024,FIX,787.3281716369204
2025,FIX,817.8153097114406
2026,FIX,818.02404285201
2027,FIX,809.201302769225
2028,FIX,805.494258798258
2029,FIX,796.9463727125334
2030,FIX,794.0833042245624
2031,FIX,787.9322657064039
2032,FIX,803.315483685848
2033,FIX,817.1533675112714
2034,FIX,836.8802334011825
2035,FIX,856.800442600168
2036,FIX,877.4410570402197
2037,FIX,884.5058136506258
2038,FIX,881.0989069973898
2039,FIX,873.8984344570654
2040,FIX,865.9505265110845
2041,FIX,881.465758916532
2042,FIX,901.4237210690127
2043,FIX,919.0479745415865
2044,FIX,943.0957549141062
2045,FIX,971.0609378225256
2046,FIX,998.5953155531465
2047,FIX,1026.5201531233606
