YEAR,CostType,VALUE
2041,CAP,7812.4330182663925
2042,CAP,7998.812574284234
2043,CAP,8358.256786483265
2044,CAP,8475.03606696842
2045,CAP,9466.248332582702
2046,CAP,9657.72309407745
2047,CAP,6976.979282805432
2048,CAP,7161.353073372471
2049,CAP,7394.56146555186
2050,CAP,7997.586177931994
2051,CAP,7634.911784603591
2052,CAP,11319.534581359412
2053,CAP,12052.710540311527
2054,CAP,12920.396163307245
2055,CAP,13455.751788110547
2026,CAP,4003.0224795689655
2027,CAP,4211.247938185455
2028,CAP,4275.382520621597
2029,CAP,4166.672695165642
2030,CAP,4599.568233180565
2031,CAP,5279.214409543014
2032,CAP,2950.6309796431237
2033,CAP,3221.06477823122
2034,CAP,3353.7310261541443
2035,CAP,3504.8858522289647
2036,CAP,3500.5415923350774
2037,CAP,6933.471191390692
2038,CAP,7360.774781935482
2039,CAP,7529.602704840361
2040,CAP,7762.141290644429
2022,CAP,4072.2518437495287
2023,CAP,3820.262809200899
2024,CAP,3981.3706281048403
2025,CAP,4032.0673682468614
2021,CAP,9.273558974359329
2041,FIX,1252.8389508060661
2042,FIX,1268.950901431358
2043,FIX,1283.5310891721083
2044,FIX,1297.098596904221
2045,FIX,1304.9602932873802
2046,FIX,1315.2536091867246
2047,FIX,1362.1030672642842
2048,FIX,1386.953935904129
2049,FIX,1422.6134665838495
2050,FIX,1477.4713959265334
2051,FIX,1536.029604734197
2052,FIX,1600.077001361356
2053,FIX,1668.2592363486112
2054,FIX,1739.7673037635823
2055,FIX,1816.3549979536488
2026,FIX,852.8983692338854
2027,FIX,884.1832891635776
2028,FIX,917.0903746902073
2029,FIX,950.642594296857
2030,FIX,986.4594947629869
2031,FIX,1021.1563936507661
2032,FIX,1048.108125968637
2033,FIX,1079.5031269271788
2034,FIX,1111.9563742281439
2035,FIX,1145.5207381707314
2036,FIX,1179.8895124313947
2037,FIX,1194.9963149091418
2038,FIX,1211.434331349354
2039,FIX,1227.2134433221725
2040,FIX,1236.8593390702838
2021,FIX,756.6302112820513
2022,FIX,762.7002172028818
2023,FIX,757.1603738535765
2024,FIX,793.0103268132776
2025,FIX,823.3287977739767
