YEAR,CostType,VALUE
2022,CAP,3966.8080382820467
2023,CAP,3708.27280591153
2024,CAP,3863.8427366068217
2025,CAP,3916.972171459651
2026,CAP,2602.1957893157287
2027,CAP,2821.2938678723413
2028,CAP,2895.6389703278196
2029,CAP,2800.46886417977
2030,CAP,3138.418661551835
2031,CAP,3224.114702485961
2032,CAP,942.7444112423195
2033,CAP,1178.4245699540443
2034,CAP,1289.053154047135
2035,CAP,1413.106508239944
2036,CAP,1402.3369202075999
2037,CAP,4599.17129320326
2038,CAP,5019.1378023834295
2039,CAP,5234.27393187399
2040,CAP,5496.271394987904
2041,CAP,4481.877136154641
2042,CAP,4714.5757047597
2043,CAP,4950.911723618505
2044,CAP,5177.438622856898
2045,CAP,5483.26815199967
2046,CAP,5755.715301370471
2047,CAP,3895.828511283327
2048,CAP,4193.293216616504
2049,CAP,4528.614917458517
2050,CAP,4896.238808688184
2051,CAP,5271.018874329953
2052,CAP,8679.246820989985
2053,CAP,9383.259298433482
2054,CAP,10239.516309573643
2055,CAP,10755.62019326604
2021,CAP,9.273558974358505
2021,FIX,756.6302112820513
2022,FIX,765.8939374263083
2023,FIX,763.9732511753002
2024,FIX,803.78830753336
2025,FIX,838.1132488554236
2026,FIX,842.5943650922155
2027,FIX,849.1631979126362
2028,FIX,857.7664079684291
2029,FIX,867.4807754993199
2030,FIX,877.7051501370076
2031,FIX,890.0503265530227
2032,FIX,908.6657726407343
2033,FIX,932.3932021786845
2034,FIX,958.7548035185036
2035,FIX,988.0826185783499
2036,FIX,1020.2200476503449
2037,FIX,1051.648095977593
2038,FIX,1086.5787308461827
2039,FIX,1124.2050449794037
2040,FIX,1161.0112833343685
2041,FIX,1207.1092533690587
2042,FIX,1256.9630650315084
2043,FIX,1310.6661563545858
2044,FIX,1367.6886985915437
2045,FIX,1433.4004830971794
2046,FIX,1503.803981044148
2047,FIX,1579.3570839574302
2048,FIX,1660.2294409929104
2049,FIX,1739.4772415558632
2050,FIX,1831.8151867632344
2051,FIX,1930.7244091099678
2052,FIX,2036.709814758287
2053,FIX,2149.9001277699444
2054,FIX,2270.2966991658886
2055,FIX,2399.898726627277
