YEAR,CostType,VALUE
2041,CAP,2642.304873511613
2042,CAP,2836.576532975328
2043,CAP,2716.7744646221695
2044,CAP,2834.2436043444636
2045,CAP,2913.2920144724453
2046,CAP,3322.375036074613
2050,CAP,1935.188520731815
2052,CAP,3685.8527427552535
2053,CAP,4447.068037623858
2039,CAP,4440.780586791862
2040,CAP,5036.140264845127
2023,CAP,3708.248797911531
2024,CAP,3863.8427366068186
2025,CAP,4602.248648034848
2022,CAP,4480.933750957567
2026,CAP,1979.9307986043457
2027,CAP,2126.104289620517
2028,CAP,1999.1268627887987
2029,CAP,1986.222100050375
2030,CAP,2176.9856889559064
2031,CAP,2186.750286151949
2032,CAP,840.3271103758423
2033,CAP,997.0486019938186
2034,CAP,887.2426806778823
2035,CAP,1050.824721838793
2036,CAP,963.101737455544
2038,CAP,3102.952986983831
2047,CAP,1589.879385473687
2048,CAP,1677.923923269534
2049,CAP,1532.7930841755258
2051,CAP,2183.460872706622
2054,CAP,5631.820718599817
2055,CAP,6149.836197189073
2037,CAP,2539.2786840692456
2021,CAP,9.27355897435918
2041,FIX,639.5713944840145
2042,FIX,649.8129557525641
2043,FIX,659.971481484484
2044,FIX,669.0325913972827
2045,FIX,679.1782630241462
2046,FIX,680.7766507914018
2047,FIX,688.4628899940504
2048,FIX,690.2224399625231
2049,FIX,694.2111815034779
2050,FIX,704.9083717020662
2051,FIX,721.9789538409543
2052,FIX,718.3101741532419
2053,FIX,717.7722734959294
2054,FIX,726.5590961379852
2055,FIX,737.1743566015938
2039,FIX,643.3751763800929
2040,FIX,634.832587352887
2021,FIX,756.6302112820513
2022,FIX,739.2765958951309
2023,FIX,744.0263322528183
2024,FIX,783.840848610878
2025,FIX,801.3811420921556
2026,FIX,778.1502961593476
2027,FIX,754.782298383679
2028,FIX,727.5120627723978
2029,FIX,703.4921365232278
2030,FIX,680.7012206631364
2031,FIX,657.7960691872275
2032,FIX,666.3726157376753
2033,FIX,677.9923482967366
2034,FIX,685.9527316133979
2035,FIX,697.9711379317201
2036,FIX,710.5511856324686
2037,FIX,701.8105285597092
2038,FIX,671.5456498878056
