YEAR,CostType,VALUE
2023,CAP,4211.455439222928
2024,CAP,4587.174753856001
2025,CAP,4764.470882011382
2026,CAP,2684.625648068002
2027,CAP,2658.6100677399963
2028,CAP,2630.8935877999998
2029,CAP,2683.655226537225
2030,CAP,2711.7447279676608
2031,CAP,2833.387909035925
2032,CAP,2851.4369458158485
2033,CAP,3534.6669731130364
2034,CAP,3546.098468044329
2035,CAP,3524.5835630684687
2036,CAP,3505.5363210640035
2037,CAP,3486.748318191996
2038,CAP,3471.571628439507
2039,CAP,3459.9757690011666
2040,CAP,3675.1767910264953
2041,CAP,3129.603844438607
2042,CAP,3948.308708543823
2043,CAP,3355.6624281188483
2044,CAP,3100.2523636204387
2045,CAP,3212.154253946386
2046,CAP,2512.1101453765946
2047,CAP,3001.999128811839
2048,CAP,3024.385126951104
2049,CAP,3090.1037113200614
2050,CAP,3214.551940240149
2022,CAP,3902.4540900000025
2021,CAP,2.656427999999145
2023,FIX,1232.2602450404383
2024,FIX,1293.1458256073424
2025,FIX,1358.0321274489345
2026,FIX,1284.8472827395506
2027,FIX,1242.6306645823556
2028,FIX,1217.8524585014102
2029,FIX,1206.026024871653
2030,FIX,1202.0509362397254
2031,FIX,1205.8865174314385
2032,FIX,1213.5884166311976
2033,FIX,1229.4501135673254
2034,FIX,1247.6276130890833
2035,FIX,1267.0326117118148
2036,FIX,1286.4282835044419
2037,FIX,1307.072420309466
2038,FIX,1328.2641229067103
2039,FIX,1349.8317103373379
2040,FIX,1371.2357138967693
2041,FIX,1394.7580648049857
2042,FIX,1417.691204573403
2043,FIX,1441.0953063291531
2044,FIX,1466.5178163027797
2045,FIX,1493.4817364639257
2046,FIX,1517.4718760872647
2047,FIX,1546.3143723056946
2048,FIX,1581.864580226792
2049,FIX,1617.0428943747931
2050,FIX,1649.3088619077562
2021,FIX,1114.10583
2022,FIX,1172.243794
