YEAR,TECHNOLOGY:Type,VALUE
2023,BKSTP,0.1279147671232913
2024,BKSTP,0.4347767671232915
2025,BKSTP,0.8309023608732832
2026,BKSTP,0.8309023608732828
2027,BKSTP,0.8875626296428618
2028,BKSTP,1.118824432518116
2029,BKSTP,1.3064185674440287
2030,BKSTP,1.5260137846590949
2031,BKSTP,1.8107237846590936
2032,BKSTP,2.2533317846590943
2033,BKSTP,2.7104387846590927
2034,BKSTP,3.1835987846590923
2035,BKSTP,3.6746267846590928
2036,BKSTP,4.182048784659092
2037,BKSTP,4.706623784659091
2038,BKSTP,5.250060784659091
2039,BKSTP,5.8101577846590935
2040,BKSTP,6.392307784659095
2041,BKSTP,7.1606597846590905
2042,BKSTP,8.30462678465909
2043,BKSTP,9.352226017535797
2044,BKSTP,10.268540017535802
2045,BKSTP,11.2105680175358
2046,BKSTP,12.180267017535796
2047,BKSTP,13.427182748766214
2048,BKSTP,14.27566494589095
2049,BKSTP,15.211303810965056
2050,BKSTP,16.080116
2021,DSLBIO,30.100000000000005
2022,DSLBIO,31.130000000000003
2023,DSLBIO,32.18000000000001
2024,DSLBIO,33.28
2025,DSLBIO,34.20604375000003
2026,DSLBIO,34.75004375000001
2027,DSLBIO,35.312043750000015
2028,DSLBIO,35.86204375000002
2029,DSLBIO,36.43804375000003
2030,DSLBIO,37.017043750000035
2031,DSLBIO,37.598043750000016
2032,DSLBIO,38.19104375000002
2033,DSLBIO,38.78304375000002
2034,DSLBIO,39.39104375000003
2035,DSLBIO,40.003043750000025
2036,DSLBIO,40.62904375000002
2037,DSLBIO,41.25504375000001
2038,DSLBIO,41.890043750000025
2039,DSLBIO,42.52204375000002
2040,DSLBIO,43.16804375000003
2041,DSLBIO,42.19304375000002
2042,DSLBIO,40.93904375000003
2043,DSLBIO,39.68504375000004
2044,DSLBIO,38.43004375000004
2045,DSLBIO,37.17604375000003
2046,DSLBIO,37.17604375000003
2047,DSLBIO,34.89604375000003
2048,DSLBIO,32.59204375000004
2049,DSLBIO,30.238043750000035
2050,DSLBIO,28.057000000000013
2025,ELC,6.919956249999979
2026,ELC,7.810956249999976
2027,ELC,8.734956249999978
2028,ELC,9.68995624999998
2029,ELC,10.679956249999973
2030,ELC,11.706956249999976
2031,ELC,12.769956249999979
2032,ELC,13.872956249999978
2033,ELC,15.01695624999998
2034,ELC,16.20495624999998
2035,ELC,17.436956249999977
2036,ELC,18.71695624999998
2037,ELC,20.04595624999998
2038,ELC,21.42695624999998
2039,ELC,22.858956249999984
2040,ELC,24.34895624999998
2041,ELC,27.52995624999998
2042,ELC,31.048956249999964
2043,ELC,34.61795624999995
2044,ELC,38.287956249999965
2045,ELC,42.016956249999964
2046,ELC,44.55095625000019
2047,ELC,49.45595625000004
2048,ELC,51.896956249999874
2049,ELC,54.43995624999998
2050,ELC,56.876000000000005
2048,H2,2.568000000000075
2049,H2,5.173000000000003
2050,H2,7.80199999999996
2021,ELC,4.893
2022,ELC,5.349
2023,ELC,5.804999999999999
2024,ELC,6.260000000000001
2021,JET,0.6099999999999999
2022,JET,0.65
2023,JET,0.6899999999999998
2024,JET,0.7289999999999998
2025,JET,0.7690000000000001
2026,JET,0.8050000000000002
2027,JET,0.8419999999999999
2028,JET,0.8770000000000001
2029,JET,0.913
2030,JET,0.949
2031,JET,0.986
2032,JET,1.021
2033,JET,1.057
2034,JET,1.093
2035,JET,1.13
2036,JET,1.165
2037,JET,1.201
2038,JET,1.2380000000000002
2039,JET,1.2740000000000002
2040,JET,1.31
2041,JET,1.346
2042,JET,1.3830000000000002
2043,JET,1.4200000000000002
2044,JET,1.455
2045,JET,1.492
2046,JET,1.5289999999999997
2047,JET,1.5659999999999994
2048,JET,1.602
2049,JET,1.6399999999999997
2050,JET,1.677
