YEAR,TECHNOLOGY:Type,VALUE
2023,BKSTP,0.0612739726027414
2024,BKSTP,0.4396328936788291
2025,BKSTP,0.790074797788415
2026,BKSTP,1.0737467977884143
2027,BKSTP,1.5699497977884145
2028,BKSTP,2.081547797788415
2029,BKSTP,2.614514797788414
2030,BKSTP,3.1754351663274587
2031,BKSTP,3.86855216632746
2032,BKSTP,4.59819116632746
2033,BKSTP,5.680199166327456
2034,BKSTP,6.81153116632745
2035,BKSTP,7.993563166327456
2036,BKSTP,9.225172166327456
2037,BKSTP,10.503666166327452
2038,BKSTP,11.840445166327465
2039,BKSTP,13.226191166327457
2040,BKSTP,14.47992416632746
2041,BKSTP,15.793952166327465
2042,BKSTP,17.494802166327425
2043,BKSTP,19.208546193724715
2044,BKSTP,20.82065265596852
2045,BKSTP,22.73430775185893
2046,BKSTP,24.27117475185894
2047,BKSTP,25.79011816939044
2048,BKSTP,26.05517016939043
2049,BKSTP,26.22292878607055
2050,BKSTP,25.887968786070576
2021,DSLBIO,30.10000000000001
2022,DSLBIO,31.130000000000003
2023,DSLBIO,32.18000000000001
2024,DSLBIO,32.70066618136025
2025,DSLBIO,31.425666181360263
2026,DSLBIO,30.21166618136024
2027,DSLBIO,28.95766618136025
2028,DSLBIO,27.703666181360244
2029,DSLBIO,26.448666181360245
2030,DSLBIO,25.17366618136025
2031,DSLBIO,23.93966618136025
2032,DSLBIO,22.685666181360254
2033,DSLBIO,21.430666181360248
2034,DSLBIO,20.176666181360247
2035,DSLBIO,18.922666181360245
2036,DSLBIO,17.667666181360246
2037,DSLBIO,16.41366618136025
2038,DSLBIO,15.159666181360247
2039,DSLBIO,13.905666181360244
2040,DSLBIO,12.649666181360246
2041,DSLBIO,11.395666181360248
2042,DSLBIO,10.141666181360245
2043,DSLBIO,8.887666181360245
2044,DSLBIO,7.632666181360247
2045,DSLBIO,6.378666181360248
2046,DSLBIO,6.378666181360247
2047,DSLBIO,4.098666181360247
2024,ELC,6.839333818639751
2025,ELC,9.70033381863975
2026,ELC,12.158333818639747
2027,ELC,14.708333818639751
2028,ELC,17.277333818639757
2029,ELC,19.908333818639754
2030,ELC,22.59933381863975
2031,ELC,25.288333818639753
2032,ELC,28.048333818639748
2033,ELC,30.848333818639738
2034,ELC,33.70833381863976
2035,ELC,36.61733381863975
2036,ELC,39.58733381863975
2037,ELC,42.60633381863975
2038,ELC,45.68633381863977
2039,ELC,48.81533381863976
2040,ELC,50.12633381863974
2041,ELC,51.48433381863977
2042,ELC,52.88033381863974
2043,ELC,54.31333381863976
2044,ELC,55.81333381863975
2045,ELC,57.35533381863972
2046,ELC,58.82833381863975
2047,ELC,60.570333818639725
2048,ELC,61.97133381863974
2049,ELC,62.847999999999985
2050,ELC,61.95400000000038
2048,H2,19.801000000000002
2049,H2,23.53692810995764
2050,H2,27.612999999999634
2048,DSLBIO,1.75466618136025
2040,H2,2.46900000000001
2041,H2,4.41399999999997
2042,H2,6.380000000000018
2043,H2,8.358
2044,H2,10.371000000000015
2045,H2,12.40100000000002
2046,H2,13.305000000000017
2047,H2,16.31200000000001
2021,ELC,4.893000000000001
2022,ELC,5.349000000000001
2023,ELC,5.804999999999999
2021,JET,0.6099999999999999
2022,JET,0.65
2023,JET,0.69
2024,JET,0.7289999999999998
2025,JET,0.769
2026,JET,0.802
2027,JET,0.8340000000000001
2028,JET,0.8660000000000001
2029,JET,0.8990000000000004
2030,JET,0.931
2031,JET,0.9629999999999996
2032,JET,0.9309999999999996
2033,JET,0.8989999999999999
2034,JET,0.8669999999999998
2035,JET,0.8349999999999997
2036,JET,0.8019999999999997
2037,JET,0.77
2038,JET,0.7379999999999998
2039,JET,0.7059999999999997
2040,JET,0.6739999999999997
2041,JET,0.6739999999999997
2042,JET,0.6739999999999997
2043,JET,0.6739999999999997
2044,JET,0.6739999999999997
2045,JET,0.6739999999999997
2046,JET,0.6739999999999997
2047,JET,0.6739999999999997
2048,JET,0.6739999999999997
2049,JET,0.4540718900423711
2032,H2,0.0640000000000002
2033,H2,0.1280000000000002
2034,H2,0.1930000000000002
2035,H2,0.2570000000000004
2036,H2,0.3220000000000002
2037,H2,0.3870000000000002
2038,H2,0.451
2039,H2,0.5160000000000001
