YEAR,TECHNOLOGY:TraMode,VALUE
2021,CAR,108.58171199999998
2021,MCY,1004.832
2021,BUS,36.92052
2021,LDV,67.81538461538462
2021,HDV,22.23858
2022,CAR,113.84347826086956
2022,MCY,1004.142857142857
2022,BUS,39.152195121951216
2022,LDV,70.15384615384615
2022,HDV,22.968983957219248
2023,CAR,120.62608695652172
2023,MCY,1064.5714285714284
2023,BUS,41.49463414634145
2023,LDV,72.55384615384617
2023,HDV,23.747593582887692
2024,CAR,127.93043478260873
2024,MCY,1128.2142857142858
2024,BUS,43.980487804878045
2024,LDV,75.01538461538465
2024,HDV,24.550534759358282
2025,CAR,135.54782608695655
2025,MCY,1196.3571428571427
2025,BUS,46.609756097561004
2025,LDV,77.53846153846155
2025,HDV,25.40213903743316
2026,CAR,124.68950608695651
2026,MCY,1233.0321428571424
2026,BUS,49.07779789814069
2026,LDV,79.41723076923078
2026,HDV,25.700341333333334
2027,CAR,113.8316660869565
2027,MCY,1273.8021428571426
2027,BUS,51.771436846339505
2027,LDV,81.33353846153844
2027,HDV,26.021643617021265
2028,CAR,102.97334608695651
2028,MCY,1317.2592857142854
2028,BUS,54.61391040000008
2028,LDV,83.3452307692308
2028,HDV,26.340034482758607
2029,CAR,92.11526608695652
2029,MCY,1364.515714285715
2029,BUS,57.78785350318474
2029,LDV,83.31540000000003
2029,HDV,26.654333333333323
2030,CAR,81.2569460869565
2030,MCY,1415.4299999999996
2030,BUS,61.165035629453676
2030,LDV,85.34220000000002
2030,HDV,26.987622691292867
2031,CAR,70.3988660869565
2031,MCY,1469.8542857142857
2031,BUS,64.84402836879435
2031,LDV,87.51539999999999
2031,HDV,27.313889473684203
2032,CAR,70.3988660869565
2032,MCY,1528.8171428571427
2032,BUS,68.78217554858936
2032,LDV,89.7762
2032,HDV,27.632233595800518
2033,CAR,70.3988660869565
2033,MCY,1590.9750000000004
2033,BUS,73.0839968798752
2033,LDV,92.06279999999997
2033,HDV,27.964871727748687
2034,CAR,70.3988660869565
2034,MCY,1657.9221428571432
2034,BUS,77.65340574088445
2034,LDV,94.4334
2034,HDV,28.286981723237606
2035,CAR,75.3101018155113
2035,MCY,1729.459285714286
2035,BUS,82.59766666666678
2035,LDV,99.50522461538465
2035,HDV,28.876372723695038
2036,CAR,80.52656800009258
2036,MCY,1805.393571428572
2036,BUS,87.99090322580649
2036,LDV,99.3588
2036,HDV,28.962109090909095
2037,CAR,78.8968499995799
2037,MCY,1886.085
2037,BUS,93.71120855614976
2037,LDV,101.96820000000005
2037,HDV,29.28903367875648
2038,CAR,61.25616130392774
2038,MCY,1971.3214285714284
2038,BUS,99.94882129277569
2038,LDV,104.65379999999998
2038,HDV,29.62155813953489
2039,CAR,52.733818181818165
2039,MCY,2062.5557142857147
2039,BUS,106.54052950075646
2039,LDV,104.79336585365854
2039,HDV,29.95823195876289
2040,CAR,51.90194285714285
2040,MCY,2158.4057142857137
2040,BUS,113.76737349397592
2040,LDV,107.61190243902438
2040,HDV,30.274694087403596
2041,CAR,51.90194285714285
2041,MCY,2260.292142857143
2041,BUS,121.40328089887646
2041,LDV,110.49775609756097
2041,HDV,30.612866666666662
2042,CAR,51.90194285714285
2042,MCY,2367.3535714285717
2042,BUS,129.61938599105824
2042,LDV,113.45034146341465
2042,HDV,30.949774936061374
2043,CAR,51.90194285714285
2043,MCY,2480.9592857142857
2043,BUS,138.5014807121661
2043,LDV,116.46848780487807
2043,HDV,31.263839285714283
2044,CAR,51.90194285714285
2044,MCY,2600.222142857143
2044,BUS,147.9403660516605
2044,LDV,119.65756097560977
2044,HDV,31.590430025445293
2045,CAR,51.90194285714285
2045,MCY,2726.4278571428576
2045,BUS,158.18020867009565
2045,LDV,122.90751219512195
2045,HDV,31.910512690355336
2046,CAR,51.90194285714285
2046,MCY,2859.1778571428567
2046,BUS,169.04957017543882
2046,LDV,126.21600000000005
2046,HDV,32.222754430379766
2047,CAR,51.94170629370628
2047,MCY,2999.179285714285
2047,BUS,180.8138515283843
2047,LDV,129.68721951219513
2047,HDV,32.54054292929294
2048,CAR,52.48929729729728
2048,MCY,3146.0078571428567
2048,BUS,193.23442722664743
2048,LDV,133.2134634146341
2048,HDV,32.84687405541563
2049,CAR,52.7597922077922
2049,MCY,3300.21
2049,BUS,206.73817159336696
2049,LDV,144.456
2049,HDV,33.18561331006994
2050,CAR,53.446037735849046
2050,MCY,3462.4028571428576
2050,BUS,221.0213543758965
2050,LDV,148.4256
2050,HDV,36.81223000000001
2051,CAR,55.883320754716976
2051,MCY,3632.618571428571
2051,BUS,237.47185652797697
2051,LDV,152.22445714285715
2051,HDV,37.083651527522775
2052,CAR,58.43803773584904
2052,MCY,3811.2621428571424
2052,BUS,255.150662840746
2052,LDV,153.72384131656813
2052,HDV,34.17585964912282
2053,CAR,61.09660377358489
2053,MCY,3998.8157142857153
2053,BUS,274.1434002869441
2053,LDV,149.56840919920677
2053,HDV,34.53963157894738
2054,CAR,63.85977358490566
2054,MCY,4194.617142857143
2054,BUS,294.5310559540886
2054,LDV,153.12628571428573
2054,HDV,34.87649122807018
2055,CAR,66.74837735849054
2055,MCY,4399.990714285715
2055,BUS,316.43173601147777
2055,LDV,157.38171428571428
2055,HDV,35.217000000000006
2021,,23.229226999999995
2022,,24.988726999999994
2023,,25.394601999999995
2024,,26.455401999999992
2025,,30.04919089467182
2026,,31.40373289700597
2027,,31.58400166693775
2028,,31.773447793723143
2029,,34.85357943802641
2030,,37.65685795891293
2031,,40.83043469250831
2032,,43.497253524850755
2033,,44.846136214133885
2034,,45.923087352481815
2035,,46.37173391484657
2036,,47.786313899437175
2037,,49.197569113355904
2038,,50.86357926253437
2039,,52.526289672951094
2040,,54.1968278244669
2041,,55.70282248792688
2042,,57.23894469712157
2043,,58.77499568479682
2044,,60.31067770587086
2045,,61.77830699865379
2046,,63.08542946740322
2047,,64.68033945364697
2048,,66.11114825957466
2049,,67.60898767125347
2050,,69.27462384894149
2051,,70.76906869174306
2052,,72.0386480636406
2053,,73.30504792231051
2054,,74.57136175864383
2055,,75.23971532188382
